id,description,rutapdf,rutaimg
1,Reporte Historico 10-abril-2026,10-abril-2026.pdf,LogoPCPUMA.jpg
2,Reporte Historico 17-abril-2026,17-abril-2026.pdf,LogoPCPUMA.jpg
3,Reporte Historico 24-abril-2026,24-abril-2026.pdf,LogoPCPUMA.jpg
4,Reporte Historico 01-mayo-2026,01-mayo-2026.pdf,LogoPCPUMA.jpg
5,Reporte Historico 08-mayo-2026,08-mayo-2026.pdf,LogoPCPUMA.jpg
6,Reporte Historico 15-mayo-2026,15-mayo-2026.pdf,LogoPCPUMA.jpg
7,Reporte Historico 22-mayo-2026,22-mayo-2026.pdf,LogoPCPUMA.jpg
8,Reporte Historico 29-mayo-2026,29-mayo-2026.pdf,LogoPCPUMA.jpg
9,Reporte Historico 05-junio-2026,05-junio-2026.pdf,LogoPCPUMA.jpg
